epoch,bonangbarung_separation_loss,bonangpenerus_separation_loss,class_bonangbarung_acc,class_bonangbarung_loss,class_bonangpenerus_acc,class_bonangpenerus_loss,class_demung_acc,class_demung_loss,class_gong_acc,class_gong_loss,class_kendhang_acc,class_kendhang_loss,class_peking_acc,class_peking_loss,class_saron_acc,class_saron_loss,class_slenthem_acc,class_slenthem_loss,demung_separation_loss,gong_separation_loss,kendhang_separation_loss,loss,peking_separation_loss,saron_separation_loss,slenthem_separation_loss,val_bonangbarung_separation_loss,val_bonangpenerus_separation_loss,val_class_bonangbarung_acc,val_class_bonangbarung_loss,val_class_bonangpenerus_acc,val_class_bonangpenerus_loss,val_class_demung_acc,val_class_demung_loss,val_class_gong_acc,val_class_gong_loss,val_class_kendhang_acc,val_class_kendhang_loss,val_class_peking_acc,val_class_peking_loss,val_class_saron_acc,val_class_saron_loss,val_class_slenthem_acc,val_class_slenthem_loss,val_demung_separation_loss,val_gong_separation_loss,val_kendhang_separation_loss,val_loss,val_peking_separation_loss,val_saron_separation_loss,val_slenthem_separation_loss
20,0.008770146,0.010725841,1.0,0.00053113373,1.0,0.0011858954,1.0,0.0019410257,1.0,0.00080899266,1.0,0.00085073494,0.99849737,0.011642496,1.0,0.0006126046,1.0,0.0016176901,0.20242102,0.009243076,0.010872294,0.4824875959053154,0.20018215,0.0107668815,0.010155683,0.005665595,0.008334104,1.0,0.0020314713,1.0,0.001294569,0.96997,0.15784086,1.0,0.002306115,1.0,0.0012257886,1.0,9.754065e-05,1.0,0.0006066046,1.0,0.0025901317,0.25695908,0.00630257,0.008291523,0.7068932761659136,0.23400286,0.008279718,0.007598083
21,0.008563944,0.010567561,1.0,0.0004867044,1.0,0.0010416021,1.0,0.00094192865,1.0,0.0007511219,1.0,0.0007142227,0.99774605,0.009160926,1.0,0.00052371435,1.0,0.0015479099,0.20256919,0.009085812,0.010700261,0.4782204568654769,0.20104256,0.010623318,0.009942994,0.0052968203,0.0068932683,1.0,0.0030908405,1.0,0.004668523,1.0,0.0071746646,1.0,0.0030360878,1.0,0.0039052388,1.0,0.009958424,1.0,0.0024513118,1.0,0.0054688253,0.24488755,0.005892306,0.00686815,0.5582405758333636,0.2354138,0.007015402,0.0063452995
22,0.008934335,0.010467744,1.0,0.00067782804,1.0,0.0014213494,0.99849737,0.005386115,1.0,0.00071477884,1.0,0.0010794487,0.99849737,0.011974895,1.0,0.00087392004,1.0,0.0017577899,0.21348536,0.00947215,0.010542082,0.5041396340689741,0.20656238,0.010504585,0.009965767,0.006545018,0.0074172816,1.0,0.0002220506,1.0,0.0012993286,1.0,0.0014146394,1.0,0.00036719354,1.0,0.0013600562,1.0,0.0024449544,1.0,0.00077179424,1.0,0.0015374597,0.25008953,0.0071941256,0.007115088,0.5533389205689186,0.2503398,0.0073179146,0.007168528
23,0.008008543,0.009779115,1.0,0.00058450276,1.0,0.0013414287,1.0,0.00095947675,1.0,0.0010324356,1.0,0.00086618727,0.99774605,0.015698563,1.0,0.00057818176,1.0,0.0014409894,0.20087948,0.0084529715,0.009852058,0.481786292558501,0.20187299,0.009840499,0.009473228,0.004767645,0.0060550575,1.0,0.0020021591,1.0,0.004585292,1.0,0.0027838033,1.0,0.002372639,1.0,0.0023679724,1.0,0.004695915,1.0,0.0017330862,1.0,0.0033956498,0.24041067,0.005365637,0.0062265457,0.5202114309992518,0.2226176,0.006250444,0.0059973877
24,0.0076491237,0.009653702,1.0,0.00059168483,1.0,0.0011073765,1.0,0.00055509905,1.0,0.0008532405,1.0,0.0006727141,0.99849737,0.0036237394,1.0,0.00048261415,1.0,0.001344541,0.19767453,0.0082920855,0.009696288,0.459462344601672,0.19834365,0.009669594,0.009210497,0.0053032353,0.00690918,1.0,0.00095459755,1.0,0.0017631692,0.981982,0.020690024,1.0,0.0010898487,1.0,0.0011445942,1.0,0.0066103362,1.0,0.00084663695,1.0,0.0017155404,0.23289429,0.006013892,0.0068294373,0.5232477293716179,0.21605113,0.006804708,0.0065698866
25,0.0073899343,0.0091644,1.0,0.0005739936,1.0,0.0012771286,1.0,0.0005473275,1.0,0.0006930386,1.0,0.0007918617,0.99849737,0.003380674,1.0,0.0005710718,1.0,0.0014493623,0.19727771,0.00819791,0.009257159,0.4555147979422497,0.19691128,0.009210936,0.008791212,0.005357875,0.007178148,1.0,0.000773159,1.0,0.0012253866,0.978979,0.024935652,1.0,0.0007618833,1.0,0.00086498645,0.996997,0.017062511,1.0,0.00057054864,1.0,0.0014289464,0.24106763,0.00625637,0.0070249317,0.546824365406781,0.21911015,0.0069613243,0.006620815
26,0.007332709,0.009112191,1.0,0.00043158085,1.0,0.001010716,1.0,0.00043862592,1.0,0.0006319553,1.0,0.0006355722,1.0,0.0014680462,1.0,0.00045228435,1.0,0.0012134766,0.19309072,0.008098509,0.009161998,0.4454991338308551,0.19504428,0.0091440575,0.008727627,0.006212013,0.007801784,1.0,0.00032458265,1.0,0.0008624616,0.972973,0.034766458,1.0,0.00046189147,1.0,0.0005824758,1.0,0.0035019757,1.0,0.0004290361,1.0,0.0023742234,0.23451833,0.006953119,0.0075254617,0.5299177663820284,0.21070008,0.0074653653,0.0069639976
27,0.0070798723,0.008796968,1.0,0.0005034204,1.0,0.0010358759,1.0,0.0004796523,1.0,0.00068768364,1.0,0.000693745,0.9992487,0.002654109,1.0,0.00051393744,1.0,0.0010684492,0.1931338,0.0078386795,0.008858171,0.4446047744654248,0.19384404,0.008828353,0.008656455,0.005938608,0.0076003494,1.0,0.00056166435,1.0,0.0009862976,0.975976,0.040217742,1.0,0.00042091054,1.0,0.00070830854,1.0,0.0025277685,1.0,0.0005108603,1.0,0.0014185039,0.24180996,0.0070514954,0.0074118893,0.5438069772791934,0.21260417,0.0073519526,0.007145282
28,0.006894243,0.008649705,1.0,0.00047737366,1.0,0.00091224746,1.0,0.00041382702,1.0,0.00061134703,1.0,0.0006268068,1.0,0.0013814954,1.0,0.0004621089,1.0,0.00090287934,0.19172747,0.0076926616,0.008685957,0.4403773504123931,0.19317931,0.008665256,0.008630158,0.0057258513,0.0073972563,1.0,0.00043382295,1.0,0.0008016376,0.96997,0.089095995,1.0,0.0006003585,1.0,0.00061905815,1.0,0.00041277148,1.0,0.0004881071,1.0,0.0027946192,0.23540598,0.0065583233,0.0069696307,0.5754583608638775,0.21047421,0.006920359,0.006778081
29,0.006834885,0.008630835,1.0,0.00038992753,1.0,0.00075802766,1.0,0.00040243415,1.0,0.0005770677,1.0,0.0005124139,0.9992487,0.0014073194,1.0,0.00037603988,1.0,0.00082586386,0.19119711,0.0075970497,0.00864706,0.43699090642914745,0.19180453,0.008634277,0.008573244,0.0048186844,0.006658882,1.0,0.00043434845,1.0,0.000712238,1.0,0.008722002,1.0,0.00052207836,1.0,0.0012218909,0.984985,0.019442672,1.0,0.0012078825,1.0,0.003139094,0.24739254,0.0057289656,0.006561738,0.535254930769717,0.22013259,0.0065729003,0.006137139
